State,Num_PWS,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String
ID,61,18661,406,0.0217566046835646,2.1756604683564653,0.019759753758486,0.0239503198378524,0.0198-0.0240
NH,51,8345,180,0.0215698022768124,2.156980227681246,0.018665938416548,0.024913951756479,0.0187-0.0249
VA,171,29325,589,0.0200852514919011,2.008525149190111,0.0185412675024213,0.0217549574940681,0.0185-0.0218
MS,239,46447,926,0.0199367020474949,1.9936702047494996,0.0187045872150328,0.0212482217347193,0.0187-0.0212
WV,103,12150,237,0.0195061728395061,1.950617283950617,0.0171946491538378,0.0221214465899144,0.0172-0.0221
UT,129,32623,631,0.0193421818962081,1.93421818962082,0.0179032596938335,0.0208942928096854,0.0179-0.0209
MO,232,46280,805,0.0173941227312013,1.7394122731201382,0.0162424496905171,0.0186259092056035,0.0162-0.0186
IL,487,63643,1104,0.017346762409063,1.7346762409063057,0.0163611514616162,0.018390637384415,0.0164-0.0184
PR,99,21291,333,0.0156404114414541,1.5640411441454136,0.0140589453371603,0.0173966349663813,0.0141-0.0174
ME,41,5405,81,0.0149861239592969,1.4986123959296949,0.0120743824983254,0.0185868222964313,0.0121-0.0186
TN,277,39713,594,0.0149573187621181,1.4957318762118197,0.0138095360810194,0.0161989326689226,0.0138-0.0162
MT,45,7700,113,0.0146753246753246,1.4675324675324677,0.0122211955642435,0.0176134780874057,0.0122-0.0176
WI,202,37745,546,0.0144654921181613,1.4465492118161345,0.0133093906820147,0.0157204166856369,0.0133-0.0157
IN,230,25442,360,0.0141498309881298,1.4149830988129866,0.0127701231396008,0.0156762380135708,0.0128-0.0157
WY,33,5261,72,0.0136856111005512,1.3685611100551225,0.0108820998434723,0.0171988209576396,0.0109-0.0172
NY,333,70993,958,0.0134942881692561,1.3494288169256123,0.0126714906025979,0.0143697348481972,0.0127-0.0144
WA,247,56491,680,0.0120373156786036,1.203731567860367,0.0111706216742616,0.0129703717576059,0.0112-0.0130
KY,231,35381,379,0.0107119640485006,1.0711964048500606,0.0096911558769768,0.0118390125666767,0.0097-0.0118
AK,32,4816,51,0.01058970099667774,1.058970099667774,0.008063758459756574,0.013895801373081086,0.0081-0.0139
AR,185,21489,168,0.007817953371492391,0.7817953371492391,0.006725169442981167,0.009086681140796459,0.0067-0.0091
OR,127,21259,142,0.0066795239663201,0.6679523966320147,0.005670160529172,0.0078671457921053,0.0057-0.0079
MI,319,42056,272,0.0064675670534525,0.646756705345254,0.00574522256825,0.0072800666187639,0.0057-0.0073
AS,1,2491,5,0.0020072260136491,0.2007226013649136,0.0008576496134384,0.0046904380888028,0.0009-0.0047
VT,38,4316,3,0.0006950880444856,0.0695088044485634,0.00023641590803,0.0020418157752797,0.0002-0.0020
HI,45,11525,2,0.000173535791757,0.0173535791757049,4.759006722038857e-05,0.0006325823448977,0.0000-0.0006
