PWSID,0,1,2,3,4
AL0000188,0.9189466483619345,0.009960820620951744,-0.16045168199747611,-0.09383226973417719,-0.18183481064942925
AL0000189,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000213,1.2968019007638332,-0.013340185122553683,-0.19284608419389151,-0.11936849111191895,0.013269311225884123
AL0000219,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000229,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000232,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000234,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000237,0.046195438680171716,-0.014572642192443698,0.06548597932058868,0.08150382772805527,0.07321154589445447
AL0000243,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000255,1.1730842416221938,-0.031130635394085303,-0.16761335030329164,-0.14742736626082073,0.10439076715289843
AL0000256,-0.014347500875129626,-0.018903006335011074,-0.011159451461067213,-0.09176483601279917,0.07647045270276513
AL0000257,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000262,1.109550840455143,-0.0017377625874897273,-0.18488750467053267,-0.14783514110711,-0.10689036643714349
AL0000264,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000279,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000295,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000296,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000314,1.2968019007638332,-0.013340185122553683,-0.19284608419389151,-0.11936849111191895,0.013269311225884123
AL0000316,0.8479113814418298,0.012829332091383852,-0.22491219100331267,-0.16751727447493941,-0.13670963796492794
AL0000320,0.6734081675167322,0.00048723027767496896,-0.1705590604399427,-0.15449849311174058,-0.07249309468217517
AL0000321,0.6734081675167322,0.00048723027767496896,-0.1705590604399427,-0.15449849311174058,-0.07249309468217517
AL0000327,0.6734081675167322,0.00048723027767496896,-0.1705590604399427,-0.15449849311174058,-0.07249309468217517
AL0000329,0.9350476265300454,-0.014079864401198615,-0.1305343741071627,-0.13481635974391115,-0.042673823154390736
AL0000331,1.03516244175052,0.0012269095563199068,-0.23287077052667152,-0.13905062447974836,-0.016549960301900316
AL0000338,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000354,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000356,-0.06986638168142306,-0.020283323618584172,0.352155189315483,0.813866242142133,-0.38422015284844874
AL0000361,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000375,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000390,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000393,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000394,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000397,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000402,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000406,-0.03896210875883891,0.008420925647013288,-0.025493502177695387,0.04804384123450023,0.02265155384974157
AL0000409,0.0952478777476037,0.019012500305545386,-0.06291115784411459,-0.023480942616690207,-0.11033616795346335
AL0000413,-0.08123403382669872,0.010586027144962007,-0.011956362678610518,-0.009703089490964578,-0.08959544743653491
AL0000415,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000420,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000436,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000441,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000463,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000482,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000490,-0.21544402033314136,-5.547513570098144e-06,0.02546129298780865,0.06182169436022586,0.04339227436667
AL0000491,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000500,-0.2049516929683381,-0.0072044231265696035,0.013276371211989336,-0.037761964639866356,0.001526008490479396
AL0000506,0.8093512697392011,-0.027954686019604734,-0.10869997561442873,-0.16211616313028615,0.004971810006799253
