,0,1,2,3,4,5,6,7,8,9
PFNA__0,-0.023987179894107855,0.0033953212906890793,-0.05061839696442176,0.00658899272123176,-0.02353179127261997,0.015209036501372819,0.01660565985935315,0.004379713530408689,-0.0065129950764874255,0.0032629507701871455
PFNA__1,2.9524461421471178,-0.41791087115278114,6.230331848054603,-0.8110018028928054,2.8963949354347895,-1.8719941794943198,-2.043896640037928,-0.5390741376705314,0.801647683149332,-0.4016181333521705
PFOA__0,-0.29470395258326754,0.009103378438521766,0.02416762206779977,0.04849238857898391,-0.015252898771279272,0.020378791583788552,-0.024574619028072085,-0.023905558492875748,0.003452057307762798,0.011584075566348715
PFOA__1,2.0617836309998645,-0.06368830986763892,-0.16907953606594983,-0.3392584732028133,0.10671107983540022,-0.14257243087074614,0.17192693483071025,0.16724610836902504,-0.024151000310753006,-0.08104355972699116
PFOS__0,-0.2942009915250364,0.010871086367917657,0.021487743876623524,0.041524022703176414,-0.05604809369952458,-0.00574898691139403,-0.006199580548678899,-0.05030404536481952,0.004290722975872335,-0.0016946744224510478
PFOS__1,1.973745125029124,-0.07293229574524401,-0.14415767093276663,-0.2785777062040187,0.37601726334493923,0.038568989286546715,0.04159194645045937,0.33748140614137595,-0.028785741042472602,0.011369286563195677
PFPeA__0,-0.40966829973126695,-0.017443998790592375,0.07269518773948196,0.015225450323562734,0.0730441723364129,0.015902070528190492,0.019255340174691542,0.041492021920431374,-0.02134209916279087,0.0015071842494295102
PFPeA__1,1.6666967686409428,0.07096926082767073,-0.29575350248144516,-0.061943306016187506,-0.2971733133391366,-0.06469607138609856,-0.07833853209850997,-0.1688063706772665,0.08682831386751569,-0.006131836707692132
PFPeS__0,-0.016053494157052404,0.0007790464768879184,-0.0003721749700735414,-0.024921105843504803,-0.035747061167875495,-0.010716767001470477,-0.011091705934838924,0.004356445360756195,-0.00021886486543223524,0.002112989543434084
PFPeS__1,3.29064523231253,-0.15968894683246637,0.0762884253656517,5.108328275801628,7.3274325981911375,2.196722899961456,2.273577882523278,-0.8929841700478074,0.04486292011628785,-0.43312059661306695
PFTA__0,1.6479873021779667e-17,-8.814563662307151e-17,7.48099499014998e-18,2.1510571102112408e-16,-1.3010426069826053e-17,-1.4268100589909238e-16,-1.1709383462843448e-16,2.0252896582029223e-16,-1.1275702593849246e-16,2.5326962749261384e-16
PFTrDA__0,1.6479873021779667e-17,-8.814563662307151e-17,7.48099499014998e-18,2.1510571102112408e-16,-1.3010426069826053e-17,-1.4268100589909238e-16,-1.1709383462843448e-16,2.0252896582029223e-16,-1.1275702593849246e-16,2.5326962749261384e-16
PFUnA__0,-0.0027666145630802414,0.0007874572589872188,-0.01484406741224377,0.006212371757611865,-0.0023532426031042165,0.002776573064545125,0.005770920576066134,0.00078032658619897,0.0006416345674742194,0.0001005143465719182
PFUnA__1,4.746127282964631,-1.3508829277928527,25.464997645704123,-10.657323750183465,4.036987685625458,-4.76321109222765,-9.90001424824108,-1.3386502586241016,-1.100724100501875,-0.1724323615434571
lithium__0,0.04549415704697809,-0.01879214927412994,-0.030099460101161938,-0.21510116046473163,-0.08795443359796946,-0.24822349072377217,0.4345182661846077,0.11156518403960043,-0.10189359375416149,0.1363763303539883
lithium__1,-0.07935111964548817,0.032777353889809076,0.05249961785830189,0.37518044135415185,0.15341053086392473,0.4329525633567316,-0.7578887744323054,-0.19459251125052626,0.17772327863435722,-0.23786822768377372
