PWS_ID,State,PWS_Name,Source_Water_Type,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String
MN1820025,MN,Woodbury,GW,720,105,0.14583333333333334,14.583333333333334,0.12193247613340506,0.173493484463499,0.1219-0.1735
NJ1429001,NJ,PARSIPPANY-TROY HILLS WATER DEPARTMENT,GW,870,100,0.11494252873563218,11.494252873563218,0.09541985292819698,0.1378507993273148,0.0954-0.1379
PA1460055,PA,AUDUBON WATER COMPANY,GW,480,97,0.20208333333333334,20.208333333333332,0.1685899565352852,0.24030750081439284,0.1686-0.2403
PA1460022,PA,COLLEGEVILLE TRAPPE JOINT PWD,GW,390,95,0.24358974358974358,24.358974358974358,0.2036231909232034,0.2885584374268743,0.2036-0.2886
PA1460050,PA,TELFORD BOROUGH AUTHORITY,GW,480,94,0.19583333333333333,19.583333333333332,0.16280528291313864,0.23369142179352567,0.1628-0.2337
PA1090128,PA,DTMA MAIN SYSTEM,GW,540,94,0.17407407407407408,17.40740740740741,0.14442510772604514,0.20832760556400107,0.1444-0.2083
TX1010056,TX,CLEAR LAKE CITY WATER AUTHORITY,SW,540,94,0.17407407407407408,17.40740740740741,0.14442510772604514,0.20832760556400107,0.1444-0.2083
CO0101025,CO,BRIGHTON CITY OF,GU,480,93,0.19375,19.375,0.16088008294607978,0.23148303754624663,0.1609-0.2315
CA1910042,CA,"PICO RIVERA - CITY, WATER DEPT.",GW,450,89,0.19777777777777777,19.77777777777778,0.1635996620928026,0.23707229041221237,0.1636-0.2371
TX2200012,TX,CITY OF FORT WORTH,SW,600,89,0.14833333333333334,14.833333333333334,0.12213275125695007,0.17900847518389143,0.1221-0.1790
AZ0407100,AZ,TEMPE CITY OF,SW,720,87,0.12083333333333333,12.083333333333334,0.09901602816100784,0.14667529436038357,0.0990-0.1467
TX2460001,TX,CITY OF GEORGETOWN,SW,660,87,0.1318181818181818,13.18181818181818,0.10812620566551434,0.15977143738668365,0.1081-0.1598
TX2210001,TX,CITY OF ABILENE,SW,360,87,0.24166666666666667,24.166666666666668,0.2003213616461834,0.2884671661087517,0.2003-0.2885
PR0003824,PR,PONCE URBANO,SW,1560,86,0.05512820512820513,5.512820512820513,0.04485653768161941,0.06758554085114245,0.0449-0.0676
AZ0407095,AZ,MESA CITY OF,SW,2100,85,0.04047619047619048,4.0476190476190474,0.03285231472712941,0.049778240729136884,0.0329-0.0498
NJ1918004,NJ,SPARTA TWP WATER UTILITY - LAKE MOHAWK,GW,780,85,0.10897435897435898,10.897435897435898,0.0889920588095219,0.13278948480847438,0.0890-0.1328
CO0121900,CO,WIDEFIELD WSD,GW,720,83,0.11527777777777778,11.527777777777779,0.09396476332994518,0.14067441739688785,0.0940-0.1407
IL1970250,IL,CREST HILL,GW,420,82,0.19523809523809524,19.523809523809526,0.16016217154124784,0.23583859855777034,0.1602-0.2358
FL6511311,FL,ORANGEWOOD WATER SYSTEM,GW,300,81,0.27,27.0,0.22290322460653217,0.32291275319242624,0.2229-0.3229
PA3060088,PA,PAW GLEN ALSACE DIV,GW,780,81,0.10384615384615385,10.384615384615385,0.0843432090787034,0.12723219084903714,0.0843-0.1272
NC0410035,NC,"OCEAN ISLE BEACH, TOWN OF",SW,360,81,0.225,22.5,0.18489707353921658,0.27091006890958536,0.1849-0.2709
TX1010293,TX,CITY OF PASADENA,GW,686,77,0.11224489795918367,11.224489795918368,0.09074894456548387,0.1380595239293126,0.0907-0.1381
AZ0407046,AZ,LIBERTY WATER LPSCO,GW,420,77,0.18333333333333332,18.333333333333332,0.14925376453362932,0.22315328564738174,0.1493-0.2232
MD0060003,MD,TOWN OF HAMPSTEAD,GW,600,77,0.12833333333333333,12.833333333333332,0.10391611275495638,0.1574795910190135,0.1039-0.1575
TX0710002,TX,EL PASO WATER UTILITIES PUBLIC SERVICE B,SW,1680,76,0.04523809523809524,4.523809523809524,0.036294833736887244,0.056256389608586574,0.0363-0.0563
DE0000552,DE,ARTESIAN WATER COMPANY,GW,1355,76,0.05608856088560885,5.608856088560885,0.04504518117414989,0.06964191701301187,0.0450-0.0696
NV0000272,NV,ELKO CITY OF,GW,1140,75,0.06578947368421052,6.578947368421052,0.052806700481153365,0.08168884505592099,0.0528-0.0817
NC0241030,NC,"JAMESTOWN, TOWN OF",SW,360,74,0.20555555555555555,20.555555555555554,0.16702449038040862,0.2503043692112379,0.1670-0.2503
WA5391200,WA,VANCOUVER CITY OF,GW,600,73,0.12166666666666667,12.166666666666668,0.09788859753110658,0.15025859868723948,0.0979-0.1503
PA1090081,PA,DOYLESTOWN BORO WATER DEPT,GW,300,72,0.24,24.0,0.1951523988530105,0.29142218474581205,0.1952-0.2914
NJ0228001,NJ,HO HO KUS WATER DEPT,GW,240,71,0.29583333333333334,29.583333333333332,0.24167167356650046,0.35642807643513985,0.2417-0.3564
CA1910034,CA,"DOWNEY - CITY, WATER DEPT.",GW,300,71,0.23666666666666666,23.666666666666668,0.19208795133542217,0.28790425513005197,0.1921-0.2879
AZ0407025,AZ,PHOENIX CITY OF,SW,1565,71,0.04536741214057508,4.536741214057508,0.036122577073298176,0.05683875184607777,0.0361-0.0568
LA1033005,LA,BATON ROUGE WATER COMPANY,GW,2460,70,0.028455284552845527,2.8455284552845526,0.022584053461253608,0.03579697233196297,0.0226-0.0358
CA1910240,CA,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,MX,540,70,0.12962962962962962,12.962962962962962,0.10389403632816535,0.16059768331961444,0.1039-0.1606
PA1460048,PA,NORTH WALES WATER AUTHORITY,GW,480,70,0.14583333333333334,14.583333333333334,0.1170710662933171,0.18021961726923724,0.1171-0.1802
